"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"3399",5,17,"disamb","fp",66,"disamb fp",1,0,448,448,0.5,-0.5
"3401",5,3,"disamb","fp",66,"disamb fp",3,0,292,292,-0.5,-0.5
"3403",5,14,"disamb","fp",66,"disamb fp",2,0,668,668,0.5,0.5
"3405",5,1,"disamb","fp",66,"disamb fp",1,0,522,522,0.5,-0.5
"3407",5,15,"disamb","fp",66,"disamb fp",3,0,279,279,-0.5,-0.5
"3409",5,22,"disamb","fp",66,"disamb fp",2,1,0,NA,0.5,0.5
"3411",5,18,"disamb","fp",66,"disamb fp",2,0,414,414,0.5,0.5
"3413",5,5,"disamb","fp",66,"disamb fp",1,0,320,320,0.5,-0.5
"3415",5,2,"disamb","fp",66,"disamb fp",2,0,402,402,0.5,0.5
"3417",5,23,"disamb","fp",66,"disamb fp",3,0,542,542,-0.5,-0.5
"3419",5,21,"disamb","fp",66,"disamb fp",1,0,1138,1138,0.5,-0.5
"3421",5,20,"disamb","fp",66,"disamb fp",4,0,382,382,-0.5,0.5
"3423",5,10,"disamb","fp",66,"disamb fp",2,0,332,332,0.5,0.5
"3425",5,12,"disamb","fp",66,"disamb fp",4,0,405,405,-0.5,0.5
"3427",5,11,"disamb","fp",66,"disamb fp",3,0,750,750,-0.5,-0.5
"3429",5,24,"disamb","fp",66,"disamb fp",4,0,363,363,-0.5,0.5
"3431",5,6,"disamb","fp",66,"disamb fp",2,0,443,443,0.5,0.5
"4249",6,12,"disamb","fp",89,"disamb fp",1,0,258,258,0.5,-0.5
"4251",6,16,"disamb","fp",89,"disamb fp",1,0,588,588,0.5,-0.5
"4253",6,13,"disamb","fp",89,"disamb fp",2,0,386,386,0.5,0.5
"4255",6,7,"disamb","fp",89,"disamb fp",4,0,330,330,-0.5,0.5
"4257",6,18,"disamb","fp",89,"disamb fp",3,0,284,284,-0.5,-0.5
"4259",6,21,"disamb","fp",89,"disamb fp",2,0,254,254,0.5,0.5
"4261",6,14,"disamb","fp",89,"disamb fp",3,0,684,684,-0.5,-0.5
"4263",6,4,"disamb","fp",89,"disamb fp",1,0,464,464,0.5,-0.5
"4265",6,5,"disamb","fp",89,"disamb fp",2,1,0,NA,0.5,0.5
"4267",6,10,"disamb","fp",89,"disamb fp",3,0,170,170,-0.5,-0.5
"4269",6,3,"disamb","fp",89,"disamb fp",4,1,0,NA,-0.5,0.5
