"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"3701",5,5,"disamb","rp",66,0.5,"disamb rp",1,0,320,320,0.5,-0.5,320
"3703",5,2,"disamb","rp",66,0.5,"disamb rp",2,0,402,402,0.5,0.5,402
"3705",5,23,"disamb","rp",66,0.5,"disamb rp",3,0,542,542,-0.5,-0.5,542
"3707",5,21,"disamb","rp",66,0.5,"disamb rp",1,0,1138,1138,0.5,-0.5,1138
"3709",5,20,"disamb","rp",66,0.5,"disamb rp",4,0,382,382,-0.5,0.5,382
"3711",5,10,"disamb","rp",66,0.5,"disamb rp",2,0,332,332,0.5,0.5,332
"3713",5,12,"disamb","rp",66,0.5,"disamb rp",4,0,405,405,-0.5,0.5,405
"3715",5,11,"disamb","rp",66,0.5,"disamb rp",3,0,750,750,-0.5,-0.5,750
"3717",5,24,"disamb","rp",66,0.5,"disamb rp",4,0,363,363,-0.5,0.5,363
"3719",5,6,"disamb","rp",66,0.5,"disamb rp",2,0,443,443,0.5,0.5,443
"4531",6,12,"disamb","rp",89,-0.5,"disamb rp",1,0,740,740,0.5,-0.5,740
"4533",6,16,"disamb","rp",89,-0.5,"disamb rp",1,0,588,588,0.5,-0.5,588
"4535",6,13,"disamb","rp",89,-0.5,"disamb rp",2,0,386,386,0.5,0.5,386
"4537",6,7,"disamb","rp",89,-0.5,"disamb rp",4,0,884,884,-0.5,0.5,884
"4539",6,18,"disamb","rp",89,-0.5,"disamb rp",3,0,284,284,-0.5,-0.5,284
"4541",6,21,"disamb","rp",89,-0.5,"disamb rp",2,0,254,254,0.5,0.5,254
"4543",6,14,"disamb","rp",89,-0.5,"disamb rp",3,0,684,684,-0.5,-0.5,684
"4545",6,4,"disamb","rp",89,-0.5,"disamb rp",1,0,464,464,0.5,-0.5,464
"4547",6,5,"disamb","rp",89,-0.5,"disamb rp",2,1,0,NA,0.5,0.5,NA
"4549",6,10,"disamb","rp",89,-0.5,"disamb rp",3,0,170,170,-0.5,-0.5,170
"4551",6,3,"disamb","rp",89,-0.5,"disamb rp",4,1,0,NA,-0.5,0.5,NA
"4553",6,11,"disamb","rp",89,-0.5,"disamb rp",4,0,204,204,-0.5,0.5,204
"4555",6,24,"disamb","rp",89,-0.5,"disamb rp",1,0,230,230,0.5,-0.5,230
"4557",6,17,"disamb","rp",89,-0.5,"disamb rp",2,0,710,710,0.5,0.5,710
"4559",6,2,"disamb","rp",89,-0.5,"disamb rp",3,0,270,270,-0.5,-0.5,270
"4561",6,9,"disamb","rp",89,-0.5,"disamb rp",2,0,268,268,0.5,0.5,268
"4563",6,15,"disamb","rp",89,-0.5,"disamb rp",4,0,404,404,-0.5,0.5,404
"4565",6,19,"disamb","rp",89,-0.5,"disamb rp",4,0,710,710,-0.5,0.5,710
"4568",6,1,"disamb","rp",89,-0.5,"disamb rp",2,0,394,394,0.5,0.5,394
"4570",6,8,"disamb","rp",89,-0.5,"disamb rp",1,0,312,312,0.5,-0.5,312
"4572",6,20,"disamb","rp",89,-0.5,"disamb rp",1,0,476,476,0.5,-0.5,476
"4574",6,23,"disamb","rp",89,-0.5,"disamb rp",4,0,336,336,-0.5,0.5,336
"4576",6,6,"disamb","rp",89,-0.5,"disamb rp",3,0,306,306,-0.5,-0.5,306
"5384",7,20,"disamb","rp",77,-0.5,"disamb rp",2,0,305,305,0.5,0.5,305
"5386",7,4,"disamb","rp",77,-0.5,"disamb rp",2,0,235,235,0.5,0.5,235
"5388",7,14,"disamb","rp",77,-0.5,"disamb rp",4,0,242,242,-0.5,0.5,242
"5390",7,24,"disamb","rp",77,-0.5,"disamb rp",2,0,145,145,0.5,0.5,145
"5392",7,8,"disamb","rp",77,-0.5,"disamb rp",2,0,128,128,0.5,0.5,128
"5394",7,21,"disamb","rp",77,-0.5,"disamb rp",3,0,325,325,-0.5,-0.5,325
"5396",7,18,"disamb","rp",77,-0.5,"disamb rp",4,0,212,212,-0.5,0.5,212
"5398",7,5,"disamb","rp",77,-0.5,"disamb rp",3,0,165,165,-0.5,-0.5,165
"5400",7,1,"disamb","rp",77,-0.5,"disamb rp",3,0,313,313,-0.5,-0.5,313
"5402",7,19,"disamb","rp",77,-0.5,"disamb rp",1,0,431,431,0.5,-0.5,431
"5404",7,16,"disamb","rp",77,-0.5,"disamb rp",2,0,560,560,0.5,0.5,560
"5406",7,15,"disamb","rp",77,-0.5,"disamb rp",1,0,300,300,0.5,-0.5,300
"5408",7,23,"disamb","rp",77,-0.5,"disamb rp",1,0,185,185,0.5,-0.5,185
"5410",7,10,"disamb","rp",77,-0.5,"disamb rp",4,1,0,NA,-0.5,0.5,NA
"5412",7,9,"disamb","rp",77,-0.5,"disamb rp",3,0,212,212,-0.5,-0.5,212
"5414",7,6,"disamb","rp",77,-0.5,"disamb rp",4,0,188,188,-0.5,0.5,188
"5416",7,2,"disamb","rp",77,-0.5,"disamb rp",4,0,263,263,-0.5,0.5,263
"5418",7,7,"disamb","rp",77,-0.5,"disamb rp",1,0,331,331,0.5,-0.5,331
"5420",7,13,"disamb","rp",77,-0.5,"disamb rp",3,0,304,304,-0.5,-0.5,304
"5422",7,12,"disamb","rp",77,-0.5,"disamb rp",2,0,176,176,0.5,0.5,176
"5424",7,11,"disamb","rp",77,-0.5,"disamb rp",1,0,168,168,0.5,-0.5,168
"5426",7,3,"disamb","rp",77,-0.5,"disamb rp",1,0,154,154,0.5,-0.5,154
"5428",7,17,"disamb","rp",77,-0.5,"disamb rp",3,1,0,NA,-0.5,-0.5,NA
"5430",7,22,"disamb","rp",77,-0.5,"disamb rp",4,0,461,461,-0.5,0.5,461
"6248",8,1,"disamb","rp",70,0.5,"disamb rp",4,0,1208,1208,-0.5,0.5,1208
"6250",8,10,"disamb","rp",70,0.5,"disamb rp",1,0,312,312,0.5,-0.5,312
"6252",8,21,"disamb","rp",70,0.5,"disamb rp",4,0,814,814,-0.5,0.5,814
"6254",8,16,"disamb","rp",70,0.5,"disamb rp",3,0,364,364,-0.5,-0.5,364
"6256",8,9,"disamb","rp",70,0.5,"disamb rp",4,0,396,396,-0.5,0.5,396
"6258",8,13,"disamb","rp",70,0.5,"disamb rp",4,0,504,504,-0.5,0.5,504
"6260",8,4,"disamb","rp",70,0.5,"disamb rp",3,0,1926,1926,-0.5,-0.5,1926
"6262",8,17,"disamb","rp",70,0.5,"disamb rp",4,0,2890,2890,-0.5,0.5,NA
"6264",8,14,"disamb","rp",70,0.5,"disamb rp",1,0,308,308,0.5,-0.5,308
"6266",8,12,"disamb","rp",70,0.5,"disamb rp",3,0,346,346,-0.5,-0.5,346
"6268",8,15,"disamb","rp",70,0.5,"disamb rp",2,0,304,304,0.5,0.5,304
"6270",8,8,"disamb","rp",70,0.5,"disamb rp",3,0,572,572,-0.5,-0.5,572
