"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"230",5,37,"disamb","fp","disamb fp",5,0,524,524,71,0.5,-0.5,524
"232",5,34,"disamb","fp","disamb fp",6,0,931,931,71,-0.5,-0.5,931
"234",5,48,"disamb","fp","disamb fp",8,0,377,377,71,-0.5,0.5,377
"236",5,35,"disamb","fp","disamb fp",7,0,501,501,71,0.5,0.5,501
"238",6,42,"disamb","fp","disamb fp",7,0,226,226,71,0.5,0.5,226
"240",6,36,"disamb","fp","disamb fp",5,0,136,136,71,0.5,-0.5,136
"242",6,30,"disamb","fp","disamb fp",7,0,372,372,71,0.5,0.5,372
"244",6,26,"disamb","fp","disamb fp",7,0,232,232,71,0.5,0.5,232
"246",6,27,"disamb","fp","disamb fp",8,0,244,244,71,-0.5,0.5,244
"248",6,28,"disamb","fp","disamb fp",5,0,714,714,71,0.5,-0.5,714
"250",6,35,"disamb","fp","disamb fp",8,0,216,216,71,-0.5,0.5,216
"252",6,47,"disamb","fp","disamb fp",8,1,0,NA,71,-0.5,0.5,NA
"254",6,43,"disamb","fp","disamb fp",8,0,228,228,71,-0.5,0.5,228
"256",6,34,"disamb","fp","disamb fp",7,1,0,NA,71,0.5,0.5,NA
"258",6,48,"disamb","fp","disamb fp",5,0,382,382,71,0.5,-0.5,382
"260",6,39,"disamb","fp","disamb fp",8,1,0,NA,71,-0.5,0.5,NA
"262",6,45,"disamb","fp","disamb fp",6,1,0,NA,71,-0.5,-0.5,NA
"264",6,33,"disamb","fp","disamb fp",6,0,296,296,71,-0.5,-0.5,296
"266",6,29,"disamb","fp","disamb fp",6,0,166,166,71,-0.5,-0.5,166
"268",6,32,"disamb","fp","disamb fp",5,0,406,406,71,0.5,-0.5,406
"270",6,41,"disamb","fp","disamb fp",6,0,210,210,71,-0.5,-0.5,210
"272",6,31,"disamb","fp","disamb fp",8,1,0,NA,71,-0.5,0.5,NA
"273",6,40,"disamb","fp","disamb fp",5,1,0,NA,71,0.5,-0.5,NA
"275",6,25,"disamb","fp","disamb fp",6,1,0,NA,71,-0.5,-0.5,NA
"277",6,46,"disamb","fp","disamb fp",7,0,216,216,71,0.5,0.5,216
"279",6,44,"disamb","fp","disamb fp",5,0,840,840,71,0.5,-0.5,840
"281",6,38,"disamb","fp","disamb fp",7,0,446,446,71,0.5,0.5,446
"283",6,37,"disamb","fp","disamb fp",6,0,244,244,71,-0.5,-0.5,244
"284",7,47,"disamb","fp","disamb fp",5,0,978,978,71,0.5,-0.5,978
"286",7,31,"disamb","fp","disamb fp",5,0,584,584,71,0.5,-0.5,584
"288",7,30,"disamb","fp","disamb fp",8,0,601,601,71,-0.5,0.5,601
"290",7,44,"disamb","fp","disamb fp",6,0,425,425,71,-0.5,-0.5,425
"292",7,42,"disamb","fp","disamb fp",8,0,356,356,71,-0.5,0.5,356
"294",7,38,"disamb","fp","disamb fp",8,0,352,352,71,-0.5,0.5,352
"296",7,39,"disamb","fp","disamb fp",5,0,238,238,71,0.5,-0.5,238
"298",7,37,"disamb","fp","disamb fp",7,0,460,460,71,0.5,0.5,460
"300",7,28,"disamb","fp","disamb fp",6,0,299,299,71,-0.5,-0.5,299
"302",7,27,"disamb","fp","disamb fp",5,0,286,286,71,0.5,-0.5,286
"304",7,34,"disamb","fp","disamb fp",8,0,287,287,71,-0.5,0.5,287
"306",7,32,"disamb","fp","disamb fp",6,0,282,282,71,-0.5,-0.5,282
"308",7,36,"disamb","fp","disamb fp",6,0,377,377,71,-0.5,-0.5,377
"310",7,35,"disamb","fp","disamb fp",5,0,198,198,71,0.5,-0.5,198
"312",7,45,"disamb","fp","disamb fp",7,0,676,676,71,0.5,0.5,676
"314",7,33,"disamb","fp","disamb fp",7,0,327,327,71,0.5,0.5,327
"316",7,29,"disamb","fp","disamb fp",7,0,464,464,71,0.5,0.5,464
"318",7,48,"disamb","fp","disamb fp",6,1,0,NA,71,-0.5,-0.5,NA
"320",7,26,"disamb","fp","disamb fp",8,0,599,599,71,-0.5,0.5,599
"322",7,41,"disamb","fp","disamb fp",7,0,285,285,71,0.5,0.5,285
"324",7,25,"disamb","fp","disamb fp",7,0,244,244,71,0.5,0.5,244
"326",7,40,"disamb","fp","disamb fp",6,0,373,373,71,-0.5,-0.5,373
"328",7,43,"disamb","fp","disamb fp",5,0,583,583,71,0.5,-0.5,583
"330",7,46,"disamb","fp","disamb fp",8,0,349,349,71,-0.5,0.5,349
"332",8,41,"disamb","fp","disamb fp",8,0,184,184,71,-0.5,0.5,184
"334",8,43,"disamb","fp","disamb fp",6,0,304,304,71,-0.5,-0.5,304
"336",8,48,"disamb","fp","disamb fp",7,0,510,510,71,0.5,0.5,510
"338",8,44,"disamb","fp","disamb fp",7,0,786,786,71,0.5,0.5,786
"340",8,28,"disamb","fp","disamb fp",7,0,318,318,71,0.5,0.5,318
"342",8,45,"disamb","fp","disamb fp",8,0,310,310,71,-0.5,0.5,310
"344",8,27,"disamb","fp","disamb fp",6,0,518,518,71,-0.5,-0.5,518
"346",8,47,"disamb","fp","disamb fp",6,0,206,206,71,-0.5,-0.5,206
"348",8,36,"disamb","fp","disamb fp",7,1,0,NA,71,0.5,0.5,NA
"350",8,35,"disamb","fp","disamb fp",6,0,388,388,71,-0.5,-0.5,388
"352",8,31,"disamb","fp","disamb fp",6,0,280,280,71,-0.5,-0.5,280
"354",8,33,"disamb","fp","disamb fp",8,0,268,268,71,-0.5,0.5,268
"356",8,30,"disamb","fp","disamb fp",5,0,308,308,71,0.5,-0.5,308
"358",8,29,"disamb","fp","disamb fp",8,0,726,726,71,-0.5,0.5,726
"360",8,46,"disamb","fp","disamb fp",5,0,236,236,71,0.5,-0.5,236
"362",8,40,"disamb","fp","disamb fp",7,0,286,286,71,0.5,0.5,286
"364",8,34,"disamb","fp","disamb fp",5,0,452,452,71,0.5,-0.5,452
"366",8,25,"disamb","fp","disamb fp",8,0,338,338,71,-0.5,0.5,338
"368",8,38,"disamb","fp","disamb fp",5,1,0,NA,71,0.5,-0.5,NA
"370",8,26,"disamb","fp","disamb fp",5,0,836,836,71,0.5,-0.5,836
"372",8,42,"disamb","fp","disamb fp",5,0,636,636,71,0.5,-0.5,636
"374",8,37,"disamb","fp","disamb fp",8,0,516,516,71,-0.5,0.5,516
"376",8,32,"disamb","fp","disamb fp",7,0,394,394,71,0.5,0.5,394
"378",8,39,"disamb","fp","disamb fp",6,0,320,320,71,-0.5,-0.5,320
"380",9,29,"disamb","fp","disamb fp",5,0,168,168,71,0.5,-0.5,168
"382",9,31,"disamb","fp","disamb fp",7,0,254,254,71,0.5,0.5,254
"384",9,44,"disamb","fp","disamb fp",8,0,398,398,71,-0.5,0.5,398
"386",9,32,"disamb","fp","disamb fp",8,0,298,298,71,-0.5,0.5,298
"388",9,26,"disamb","fp","disamb fp",6,0,414,414,71,-0.5,-0.5,414
"390",9,33,"disamb","fp","disamb fp",5,0,410,410,71,0.5,-0.5,410
"392",9,47,"disamb","fp","disamb fp",7,0,440,440,71,0.5,0.5,440
"394",9,45,"disamb","fp","disamb fp",5,0,512,512,71,0.5,-0.5,512
"396",9,37,"disamb","fp","disamb fp",5,0,742,742,71,0.5,-0.5,742
"398",9,46,"disamb","fp","disamb fp",6,0,318,318,71,-0.5,-0.5,318
"400",9,25,"disamb","fp","disamb fp",5,0,370,370,71,0.5,-0.5,370
"402",9,40,"disamb","fp","disamb fp",8,0,282,282,71,-0.5,0.5,282
"404",9,27,"disamb","fp","disamb fp",7,0,358,358,71,0.5,0.5,358
"406",9,41,"disamb","fp","disamb fp",5,0,442,442,71,0.5,-0.5,442
"408",9,30,"disamb","fp","disamb fp",6,0,270,270,71,-0.5,-0.5,270
"410",9,38,"disamb","fp","disamb fp",6,0,290,290,71,-0.5,-0.5,290
"412",9,39,"disamb","fp","disamb fp",7,0,270,270,71,0.5,0.5,270
"414",9,43,"disamb","fp","disamb fp",7,0,262,262,71,0.5,0.5,262
"416",9,28,"disamb","fp","disamb fp",8,0,336,336,71,-0.5,0.5,336
