"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"147",23333,"Native",7,26,"disamb","tt","disamb tt",8,0,1259,1259,0.5,0.5
"148",23335,"Native",7,38,"disamb","tt","disamb tt",8,0,463,463,0.5,0.5
"149",23337,"Native",7,28,"disamb","tt","disamb tt",6,0,460,460,0.5,0.5
"150",23339,"Native",7,45,"disamb","tt","disamb tt",7,0,352,352,0.5,0.5
"151",23341,"Native",7,41,"disamb","tt","disamb tt",7,0,239,239,0.5,0.5
"152",23343,"Native",7,43,"disamb","tt","disamb tt",5,0,1172,1172,0.5,0.5
"153",23345,"Native",7,27,"disamb","tt","disamb tt",5,0,2620,2620,0.5,0.5
"154",23347,"Native",7,32,"disamb","tt","disamb tt",6,0,2491,2491,0.5,0.5
"155",23349,"Native",7,47,"disamb","tt","disamb tt",5,0,1318,1318,0.5,0.5
"156",23351,"Native",7,42,"disamb","tt","disamb tt",8,0,579,579,0.5,0.5
"157",23353,"Native",7,29,"disamb","tt","disamb tt",7,0,393,393,0.5,0.5
"158",23355,"Native",7,46,"disamb","tt","disamb tt",8,0,1704,1704,0.5,0.5
"159",23357,"Native",7,36,"disamb","tt","disamb tt",6,0,515,515,0.5,0.5
"160",23359,"Native",7,39,"disamb","tt","disamb tt",5,0,371,371,0.5,0.5
"161",23361,"Native",7,48,"disamb","tt","disamb tt",6,0,1830,1830,0.5,0.5
"162",23363,"Native",7,33,"disamb","tt","disamb tt",7,0,640,640,0.5,0.5
"163",23365,"Native",7,34,"disamb","tt","disamb tt",8,0,587,587,0.5,0.5
"164",23367,"Native",7,40,"disamb","tt","disamb tt",6,0,182,182,0.5,0.5
"165",23369,"Native",7,30,"disamb","tt","disamb tt",8,0,257,257,0.5,0.5
"166",23371,"Native",7,25,"disamb","tt","disamb tt",7,0,817,817,0.5,0.5
"167",23373,"Native",7,31,"disamb","tt","disamb tt",5,0,484,484,0.5,0.5
"168",23375,"Native",7,37,"disamb","tt","disamb tt",7,0,180,180,0.5,0.5
"169",23378,"Native",8,46,"disamb","tt","disamb tt",5,0,429,429,0.5,0.5
"170",23380,"Native",8,41,"disamb","tt","disamb tt",8,0,191,191,0.5,0.5
"171",23382,"Native",8,39,"disamb","tt","disamb tt",6,0,352,352,0.5,0.5
"172",23384,"Native",8,35,"disamb","tt","disamb tt",6,0,487,487,0.5,0.5
"173",23386,"Native",8,26,"disamb","tt","disamb tt",5,0,417,417,0.5,0.5
"174",23388,"Native",8,44,"disamb","tt","disamb tt",7,0,207,207,0.5,0.5
"175",23390,"Native",8,38,"disamb","tt","disamb tt",5,0,710,710,0.5,0.5
"176",23392,"Native",8,28,"disamb","tt","disamb tt",7,0,529,529,0.5,0.5
"177",23394,"Native",8,34,"disamb","tt","disamb tt",5,0,582,582,0.5,0.5
"178",23396,"Native",8,36,"disamb","tt","disamb tt",7,0,469,469,0.5,0.5
"179",23398,"Native",8,48,"disamb","tt","disamb tt",7,0,571,571,0.5,0.5
"180",23400,"Native",8,47,"disamb","tt","disamb tt",6,0,363,363,0.5,0.5
"181",23402,"Native",8,25,"disamb","tt","disamb tt",8,0,418,418,0.5,0.5
"182",23404,"Native",8,43,"disamb","tt","disamb tt",6,0,264,264,0.5,0.5
"183",23406,"Native",8,42,"disamb","tt","disamb tt",5,0,360,360,0.5,0.5
"184",23408,"Native",8,31,"disamb","tt","disamb tt",6,0,257,257,0.5,0.5
"185",23410,"Native",8,32,"disamb","tt","disamb tt",7,0,217,217,0.5,0.5
"186",23412,"Native",8,33,"disamb","tt","disamb tt",8,0,262,262,0.5,0.5
"187",23414,"Native",8,27,"disamb","tt","disamb tt",6,0,409,409,0.5,0.5
"188",23416,"Native",8,45,"disamb","tt","disamb tt",8,0,255,255,0.5,0.5
"189",23418,"Native",8,30,"disamb","tt","disamb tt",5,0,241,241,0.5,0.5
"190",23420,"Native",8,37,"disamb","tt","disamb tt",8,0,324,324,0.5,0.5
"191",23422,"Native",8,29,"disamb","tt","disamb tt",8,0,415,415,0.5,0.5
"192",23424,"Native",8,40,"disamb","tt","disamb tt",7,0,378,378,0.5,0.5
"193",23425,"Native",9,40,"disamb","tt","disamb tt",8,0,1100,1100,0.5,0.5
"194",23427,"Native",9,37,"disamb","tt","disamb tt",5,0,723,723,0.5,0.5
"195",23429,"Native",9,42,"disamb","tt","disamb tt",6,0,580,580,0.5,0.5
"196",23431,"Native",9,39,"disamb","tt","disamb tt",7,0,586,586,0.5,0.5
"197",23433,"Native",9,35,"disamb","tt","disamb tt",7,0,1968,1968,0.5,0.5
"198",23435,"Native",9,38,"disamb","tt","disamb tt",6,0,644,644,0.5,0.5
"199",23437,"Native",9,26,"disamb","tt","disamb tt",6,0,767,767,0.5,0.5
"200",23439,"Native",9,32,"disamb","tt","disamb tt",8,0,412,412,0.5,0.5
"201",23441,"Native",9,29,"disamb","tt","disamb tt",5,0,645,645,0.5,0.5
"202",23443,"Native",9,47,"disamb","tt","disamb tt",7,0,1901,1901,0.5,0.5
"203",23445,"Native",9,36,"disamb","tt","disamb tt",8,0,334,334,0.5,0.5
"204",23447,"Native",9,27,"disamb","tt","disamb tt",7,0,492,492,0.5,0.5
"205",23449,"Native",9,48,"disamb","tt","disamb tt",8,0,886,886,0.5,0.5
"206",23451,"Native",9,28,"disamb","tt","disamb tt",8,0,615,615,0.5,0.5
"207",23453,"Native",9,33,"disamb","tt","disamb tt",5,0,751,751,0.5,0.5
"208",23455,"Native",9,31,"disamb","tt","disamb tt",7,0,711,711,0.5,0.5
"209",23457,"Native",9,43,"disamb","tt","disamb tt",7,0,332,332,0.5,0.5
"210",23459,"Native",9,44,"disamb","tt","disamb tt",8,0,541,541,0.5,0.5
"211",23461,"Native",9,45,"disamb","tt","disamb tt",5,0,390,390,0.5,0.5
"212",23463,"Native",9,46,"disamb","tt","disamb tt",6,0,427,427,0.5,0.5
"213",23465,"Native",9,30,"disamb","tt","disamb tt",6,0,280,280,0.5,0.5
"214",23467,"Native",9,25,"disamb","tt","disamb tt",5,0,301,301,0.5,0.5
"215",23469,"Native",9,41,"disamb","tt","disamb tt",5,0,540,540,0.5,0.5
"216",23471,"Native",9,34,"disamb","tt","disamb tt",6,0,242,242,0.5,0.5
